fincode,rv_sect_name,compname,classification
292711,FMCG,Flair Writing Industries Ltd.,S
293380,Construction,Dalmia Bharat Ltd.,M
295732,Construction,Greenpanel Industries Ltd.,S
295768,Financials,CSB Bank Ltd.,S
295872,Chemicals,Gujarat Fluorochemicals Ltd.,M
295873,Consumer Durables,Hindware Home Innovation Ltd.,S
296057,Construction,Hemisphere Properties India Ltd.,S
296479,Travel,Easy Trip Planners Ltd.,S
296765,Capital Goods,Hitachi Energy India Ltd.,S
297629,Healthcare,Suven Pharmaceuticals Ltd.,S
299229,Consumer Durables,Borosil Ltd.,S
301578,Chemicals,Jubilant Ingrevia Ltd.,S
301603,Capital Goods,Paras Defence And Space Technologies Ltd.,S
301987,Healthcare,Glenmark Life Sciences Ltd.,S
302222,Chemicals,Meghmani Organics Ltd.,S
302830,Chemicals,HP Adhesives Ltd.,S
302921,Automobile and Ancillaries,SJS Enterprises Ltd.,S
303157,Technology,RateGain Travel Technologies Ltd.,S
303180,Financials,Prudent Corporate Advisory Services Ltd.,S
303575,Retail and Other Services,Electronics Mart India Ltd.,S
304701,FMCG,Campus Activewear Ltd.,S
305057,Miscellaneous,Dreamfolks Services Ltd.,S
305788,Healthcare,Yatharth Hospital & Trauma Care Services Ltd.,S
305814,Capital Goods,DCX Systems Ltd.,S
307329,Healthcare,Blue Jet Healthcare Ltd.,S
307332,Healthcare,Piramal Pharma Ltd.,S
308582,Energy,IRM Energy Ltd.,S
308764,Miscellaneous,Honasa Consumer Ltd.,S
310018,Consumer Durables,Netweb Technologies India Ltd.,S
311589,Retail and Other Services,Redtape Ltd.,S
311653,FMCG,Cello World Ltd.,S
