SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
532822,IDEA,Vodafone Idea Ltd,VODAFONE IDEA LIMITED
532825,JAGJANANI,JAGJANANI TEXTILES LTD.,JAGJANANI TEXTILES LIMITED
532826,RAJTV,RAJ TELEVISION NETWORK LTD.,Raj Television Network Ltd
532827,PAGEIND,PAGE INDUSTRIES LTD.,Page Industries Ltd.
532828,AMDIND,AMD INDUSTRIES LTD.,AMD Industries Ltd
532829,LEHAR,Lehar Footwears Ltd,LEHAR FOOTWEARS LIMITED
532830,ASTRAL,Astral Ltd,ASTRAL LIMITED
532832,IBREALEST,INDIABULLS REAL ESTATE LTD.,Indiabulls Real Estate Limited
532834,CAMLINFINE,CAMLIN FINE SCIENCES LTD.,Camlin Fine Sciences Ltd
532835,ICRA,ICRA LTD.,ICRA Limited
532839,DISHTV,DISH TV INDIA LTD.,Dish TV India Limited
532841,SAHYADRI,SAHYADRI INDUSTRIES LTD.,SAHYADRI INDUSTRIES LTD.
532842,SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH HYPO LTD.,Sree Rayalaseema Hi-Strength Hypo Limited
532843,FORTIS,FORTIS HEALTHCARE LTD.,Fortis Healthcare Ltd
532845,TGBHOTELS,TGB BANQUETS AND HOTELS LTD.,TGB Banquets and Hotels Limited
532847,HILTON,HILTON METAL FORGING LTD.,HILTON METAL FORGING LIMITED
532848,DELTACORP,DELTA CORP LTD.,Delta Corp Limited
532850,MICEL,MIC ELECTRONICS LTD.,MIC Electronics Limited
532851,INSECTICID,INSECTICIDES (INDIA) LTD.,Insecticides India Ltd.
532853,ASAHISONG,ASAHI SONGWON COLORS LTD.,Asahi Songwon Colors Ltd.
532855,HARYNACAP,HARYANA CAPFIN LTD.,Haryana Capfin Ltd.
532856,TIMETECHNO,TIME TECHNOPLAST LTD.,Time Technoplast Limited
532859,HGS,HINDUJA GLOBAL SOLUTIONS LTD.,Hinduja Global Solutions Limited
532864,NELCAST,NELCAST LTD.,Nelcast Limited
532867,V2RETAIL,V2 RETAIL LTD.,V2 Retail Limited
532868,DLF,DLF LTD.,DLF LIMITED
532869,TARMAT,TARMAT LTD.,Tarmat Limited
532870,ANKITMETAL,ANKIT METAL & POWER LTD.,Ankit Metal  & Power Limited
532872,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,Sun Pharma Advanced Research Company Ltd.
532873,HDIL,HOUSING DEVELOPMENT & INFRASTRUCTURE LTD.,Housing Development & Infrastructure  Ltd
532875,ADSL,ALLIED DIGITAL SERVICES LTD.,Allied Digital Services Limited
532878,ALPA,ALPA LABORATORIES LTD.,Alpa Laboratories Limited
532879,SSLEL,SIR SHADI LAL ENTERPRISES LTD.,Sir Shadi Lal Enterprises Ltd
532880,OMAXE,OMAXE LTD.,OMAXE LIMITED
532884,REFEX,Refex Industries Limited,Refex Industries Limited
532885,CENTRALBK,CENTRAL BANK OF INDIA,Central Bank of India
532886,SELMC,SEL MANUFACTURING COMPANY LTD.,SEL Manufacturing Company Limited
532888,ASIANTILES,ASIAN GRANITO INDIA LTD.,ASIAN GRANITO INDIA LIMITED
532889,KPRMILL,K.P.R. Mill Limited,K.P.R. Mill Ltd.
532890,TAKE,TAKE SOLUTIONS LTD.,Take Solutions Ltd
532891,PURVA,Puravankara Ltd,Puravankara Limited
532892,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,Motilal Oswal Financial Services Limited
532893,VTMLTD,VTM LTD.,VTM Ltd
532894,INDOWIND,INDOWIND ENERGY LTD.,Indowind Energy Ltd.
532895,NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCTURE LTD.,Nagreeka Capital & Infrastructure Limited
532896,MAGNUM,MAGNUM VENTURES LTD.,MAGNUM VENTURES LIMITED
532898,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,POWER GRID CORPORATION OF INDIA LIMITED
532899,KSCL,KAVERI SEED COMPANY LTD.,Kaveri Seed Company Ltd
532900,PAISALO,Paisalo Digital Ltd,PAISALO DIGITAL LIMITED
532904,SUPREMEINF,SUPREME INFRASTRUCTURE INDIA LTD.,Supreme Infrastructure India Limited
532906,MAANALU,MAAN ALUMINIUM LTD.,MAAN ALUMINIUM LIMITED
532907,IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LTD.,IL&FS Engineering and Construction Company Ltd
532911,PARLEIND,Parle Industries Ltd,PARLE INDUSTRIES LIMITED
532915,RELIGARE,RELIGARE ENTERPRISES LTD.,Religare Enterprises Ltd
532916,BVCL,BARAK VALLEY CEMENTS LTD.,BARAK VALLEY CEMENTS LIMITED
532918,RATHIBAR,RATHI BARS LTD.,RATHI BARS LIMITED
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Adani Ports and Special Economic Zone Ltd
532922,EDELWEISS,Edelweiss Financial Services Ltd.,Edelweiss Financial Services Ltd.
532923,RGL,Renaissance Global Ltd,RENAISSANCE GLOBAL LIMITED
532924,KOLTEPATIL,KOLTE-PATIL DEVELOPERS LTD.,Kolte-Patil Developers Ltd
532925,KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,Kaushalya Infrastructure Development Corporation Ltd
532926,JYOTHYLAB,Jyothy Labs Ltd,JYOTHY LABS LIMITED
532927,ECLERX,ECLERX SERVICES LTD.,eClerx Services Limited
532928,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,Transformers and Rectifiers (India) Limited
532929,BRIGADE,BRIGADE ENTERPRISES LTD.,Brigade Enterprises Limited
532930,BGRENERGY,BGR ENERGY SYSTEMS LTD.,BGR ENERGY SYSTEMS LIMITED
532931,BURNPUR,BURNPUR CEMENT LTD.,Burnpur Cement Limited
532932,MANAKSIA,MANAKSIA LTD.,MANAKSIA LIMITED
532933,PORWAL,PORWAL AUTO COMPONENTS LTD.,PORWAL AUTO COMPONENTS LIMITED
532934,PPAP,PPAP Automotive Limited,PPAP Automotive Limited
532935,ARIES,ARIES AGRO LTD.,"Aries Agro Limited,"
532937,KUANTUM,KUANTUM PAPERS LTD.,Kuantum Papers Limited
532939,RPOWER,RELIANCE POWER LTD.,Reliance Power Limited
532940,JKIL,J.KUMAR INFRAPROJECTS LTD.,J. Kumar Infraprojects Limited
532941,CORDSCABLE,CORDS CABLE INDUSTRIES LTD.,Cords Cable Industries Limited
532942,KNRCON,KNR CONSTRUCTIONS LTD.,KNR Constructions Limited
532944,ONMOBILE,OnMobile Global Ltd.,OnMobile Global Ltd.
532945,SEPC,SEPC Ltd,SEPC LIMITED
532946,BANG,BANG OVERSEAS LTD.,Bang Overseas Ltd
532947,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,IRB Infrastructure Developers Limited
532951,GSS,GSS INFOTECH LTD.,GSS Infotech Ltd
532952,NAHARCAP,NAHAR CAPITAL & FINANCIAL SERVICES LTD.,Nahar Capital & Financial Services Ltd.
532953,VGUARD,V-GUARD INDUSTRIES LTD.,V-Guard Industries Ltd.
532955,RECLTD,REC Ltd,REC LIMITED
532957,GOKAKTEX,GOKAK TEXTILES LTD.,GOKAK TEXTILES LTD.
532960,DHANI,Dhani Services Ltd,Dhani Services Limited
532966,TITAGARH,Titagarh Rail Systems Ltd,TITAGARH RAIL SYSTEMS LIMITED
532967,KIRIINDUS,KIRI INDUSTRIES LTD.,KIRI INDUSTRIES LIMITED
532974,BIRLAMONEY,ADITYA BIRLA MONEY LTD.-$,Aditya Birla  Money Ltd
532975,TELOGICA,Telogica Ltd,TELOGICA LIMITED
532976,JAIBALAJI,JAI BALAJI INDUSTRIES LTD.,Jai Balaji Industries Limited
532977,BAJAJ-AUTO,BAJAJ AUTO LTD.,Bajaj Auto Limited
532978,BAJAJFINSV,BAJAJ FINSERV LTD.,Bajaj Finserv Limited
532980,GOKUL,GOKUL REFOILS & SOLVENT LTD.,Gokul Refoils and Solvent Limited
532983,RPGLIFE,RPG LIFE SCIENCES LTD.,RPG Life Sciences Limited
532985,SENSEX1,Kotak S&P BSE Sensex ETF,Kotak Mahindra Mutual Fund
532986,NIRAJ,NIRAJ CEMENT STRUCTURALS LTD.,Niraj Cement Structurals Limited
532987,RBL,RANE BRAKE LINING LTD.,Rane Brake Lining Limited
532988,RANEENGINE,RANE ENGINE VALVE LTD.,Rane Engine Valve Limited
532989,BAFNAPH,BAFNA PHARMACEUTICALS LTD.,Bafna Pharmaceuticals Limited
532992,CHLLTD,CHL LTD.,CHL Limited
532993,SEJALLTD,Sejal Glass Ltd,SEJAL GLASS LIMITED
532994,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.,Archidply Industries Limited
532998,LOTUSEYE,Lotus Eye Hospital And Institute Ltd,Lotus Eye Hospital And Institute Limited
533001,SOMICONVEY,SOMI CONVEYOR BELTINGS LTD.,SOMI CONVEYOR BELTINGS LIMITED
533007,LGBFORGE,LGB FORGE LTD.,LGB Forge Limited
533012,LPDC,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD.,Landmark Property Development Company Ltd.
533014,SICAGEN,SICAGEN INDIA LTD.,Sicagen India Limited
533018,SIMPLXMIL,SIMPLEX MILLS COMPANY LTD.,SIMPLEX MILLS COMPANY LIMITED
533019,SIMPLXPAP,SIMPLEX PAPERS LTD.,SIMPLEX PAPERS LTD.
533022,20MICRONS,20 MICRONS LTD.,20 Microns Limited
533023,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd,ZF Commercial Vehicle Control Systems India Limited
533029,ALKALI,ALKALI METALS LTD.,Alkali Metals Limited
533033,ISGEC,ISGEC Heavy Engineering Ltd,ISGEC Heavy Engineering Limited
533047,IMFA,INDIAN METALS & FERRO ALLOYS LTD.,Indian Metals & Ferro Alloys Limited
533048,TPHQ,Teamo Productions HQ Ltd,Teamo Productions HQ Limited
533056,VEDAVAAG,VEDAVAAG SYSTEMS LTD.,VEDAVAAG Systems Limited
533078,MANJEERA,MANJEERA CONSTRUCTIONS LTD.,Manjeera Constructions Limited
533080,MOLDTKPAC,Mold-Tek Packaging Limited,Mold-Tek Packaging Limited
533088,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,Mahindra Holidays & Resorts India Limited
533090,EXCEL,Excel Realty N Infra Ltd,Excel Realty N Infra Limited
533093,ROML,RAJ OIL MILLS LTD.,RAJ OIL MILLS LIMITED
533095,BENGALASM,BENGAL & ASSAM COMPANY LTD.,Bengal & Assam Company Limited
533096,ADANIPOWER,ADANI POWER LTD.,Adani Power Limited
533098,NHPC,NHPC LTD.,NHPC Limited
533101,SURYAAMBA,SURYAAMBA SPINNING MILLS LTD.,Suryaamba Spinning Mills Limited
533104,GLOBUSSPR,GLOBUS SPIRITS LTD.,Globus Spirits Limited
533106,OIL,OIL INDIA LTD.,Oil India Limited
533108,BTTL,BHILWARA TECHNICAL TEXTILES LTD.,Bhilwara Technical Textiles Limited
533110,SPSL,SHREE PRECOATED STEELS LTD.,Shree Precoated Steels Limited
533121,EXPLEOSOL,Expleo Solutions Ltd,EXPLEO SOLUTIONS LIMITED
533122,RTNPOWER,RattanIndia Power Limited,RattanIndia Power Limited
533137,DEN,Den Networks Ltd,DEN Networks Limited
533138,ASTEC,ASTEC LIFESCIENCES LIMITED,ASTEC LIFESCIENCES LIMITED
533146,DLINKINDIA,D-Link (India) Ltd,D-Link (India) Ltd
533148,JSWENERGY,JSW Energy Ltd,JSW Energy Limited
533149,YUNIKM,Yunik Managing Advisors Ltd,Yunik Managing Advisors Limited
533150,GODREJPROP,Godrej Properties Ltd,Godrej Properties Limited
533151,DBCORP,D B Corp Ltd,D.B.Corp Limited
533152,MBLINFRA,MBL Infrastructure Ltd,MBL Infrastructure Ltd
533155,JUBLFOOD,Jubilant FoodWorks Ltd,Jubilant Foodworks Limited
533156,VASCONEQ,Vascon Engineers Ltd,Vascon Engineers Limited
533158,THANGAMAYL,Thangamayil Jewellery Ltd,Thangamayil Jewellery Limited
533160,DBREALTY,Valor Estate Ltd,VALOR ESTATE LIMITED
533161,EMMBI,Emmbi Industries Ltd,Emmbi Industries Limited
533162,HATHWAY,Hathway Cable & Datacom Ltd,Hathway Cable & Datacom Limited
533163,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.,ARSS Infrastructure Projects Limited
533164,TEXMOPIPES,TEXMO PIPES & PRODUCTS LTD.,Texmo Pipes and Products Limited
