Stock Number,Stock Name
100266,Maharashtra Scooters Limited
100407,Swaraj Engines Limited
132268,Accelya Solutions India Limited
100034,Bajaj Finance Limited
100049,Bharat Electronics Limited
132187,Indusind Bank Limited
132454,Bharti Airtel Limited
100570,Tata Motors Limited
100520,Mahindra & Mahindra Limited
100440,Hindalco Industries Limited
279527,Bandhan Bank Limited
132523,Biocon Limited
100325,Reliance Industries Limited
100103,Bharat Heavy Electricals Limited
100114,Titan Company Limited
132868,Dlf Limited
132659,Idfc Limited
113599,Hindustan Copper Limited
123642,Pi Industries Limited
100470,Tata Steel Limited
132286,Jindal Steel & Power Limited
205198,Bajaj Finserv Limited
100696,Hindustan Unilever Limited
100510,Larsen & Toubro Limited
240763,Meta Platforms Registered Shares A
218241,Microsoft Corp
279017,Alphabet Inc A
224342,Amazon Com Inc
132755,Tech Mahindra Limited
132540,Tata Consultancy Services Limited
217889,Tata Motors Limited Dvr
132466,Oracle Financial Services Software Limited
100271,Max Financial Services Limited
100469,The Federal Bank Limited
132541,Coforge Limited
132814,Indian Bank
218071,Max Healthcare Institute Limited
132720,Mahindra & Mahindra Financial Services Limited
132683,Aia Engineering Limited
132843,Fortis Healthcare Limited
286335,Au Small Finance Bank Limited
100472,Skf India Limited
210072,Dixon Technologies (India) Limited
132477,Union Bank Of India
254493,Pb Fintech Limited (Policy Bazaar)
100403,Sundram Fasteners Limited
132725,Solar Industries India Limited
235355,Gland Pharma Limited
131642,Marico Limited
132714,Kec International Limited
109930,Supreme Industries Limited
217400,Star Health And Allied Insurance Company Limited
289108,Delhivery Limited
200046,Knr Construction Limited.
190003,Karur Vysya Bank Limited
132514,Indraprastha Gas Limited
132805,Redington Limited
295872,Gujarat Fluorochemicals Limited
209078,Nippon Life India Asset Management Limited
131162,Emami Limited
117385,Symphony Limited
104973,Cholamandalam Financial Holdings Limited
100770,Tata Chemicals Limited
132210,City Union Bank Limited
100101,Arvind Limited
272156,Greenlam Industries Limited
122113,Timken India Limited
120113,Vesuvius India Limited
102986,Vardhman Textiles Limited
100878,Ceat Limited
226480,Dilip Buildcon Limited
278701,Five-Star Business Finance Limited
100530,Bosch Limited
214179,Sona Blw Precision Forgings
108989,Navneet Education Limited
295732,Greenpanel Industries Limited
126797,Greenply Industries Limited
106395,Coromandel International Limited
107717,Dhanuka Agritech Limited
200082,Mahindra Holidays & Resorts Ind Limited
132848,Delta Corp Limited
132705,Jagran Prakashan Limited
109966,Vst Industries Limited
105790,Schaeffler India Limited
222055,Interglobe Aviation Limited
100290,Mrf Limited
221790,Muthoot Finance Limited
223595,Avenue Supermarts Limited
217379,Icici Lombard General Insurance Company Limited
218071,Max Healthcare Institute Limited
105533,Westlife Foodworld Limited
289108,Delhivery Limited
100459,Procter & Gamble Hygiene And Health Care Limited
223430,Vedant Fashions Limited
209967,Indus Towers Limited
132478,United Breweries Limited
132827,Page Industries Limited
294253,Brainbees Solutions Limited
130517,Relaxo Footwears Limited
100530,Bosch Limited
218036,Numero Uno International Limited
208280,Hdfc Asset Management Co. Limited
307332,Piramal Pharma Limited
213838,Prestige Estates Projects Limited
303107,Sapphire Foods India Limited
235506,Metropolis Healthcare Limited
132756,Cie Automotive India Limited
296214,Restaurant Brands Asia Limited
132175,Cyient Limited
132400,Birlasoft Limited
100260,The Ramco Cements Limited
214437,Varroc Engineering Limited
100238,Whirlpool Of India Limited
208045,Devyani International Limited
296050,Indigo Paints Limited
100380,Jk Lakshmi Cement Limited
100182,Hero Motocorp Limited
210258,Icici Prudential Life Insurance Company Limited
132898,Power Grid Corporation Of India Limited
132868,Dlf Limited
208280,Hdfc Asset Management Company Limited
132432,United Spirits Limited
100387,Shree Cements Limited
219494,Hindustan Aeronautics Limited
132321,Zydus Lifesciences Limited
208365,Icici Securities Limited
100104,Hindustan Petroleum Corporation Limited
132134,Bank Of Baroda
132477,Union Bank Of India
107815,Gillette India Limited
100335,Birla Corporation Limited
209373,Syngene International Limited
313834,Grasim Industries Limited
123405,Jm Financial Limited
217889,Tata Motors Limited - Dvr
211840,Mankind Pharma Limited
212427,Alkem Laboratories Limited
100180,Hdfc Bank Limited
100325,Reliance Industries Limited
132174,Icici Bank Limited
100209,Infosys Limited
100875,Itc Limited
132454,Bharti Airtel Limited
132540,Tata Consultancy Services Limited
100510,Larsen & Toubro Limited
132215,Axis Bank Limited
100112,State Bank Of India
100520,Mahindra & Mahindra Limited
100247,Kotak Mahindra Bank Limited
100696,Hindustan Unilever Limited
100034,Bajaj Finance Limited
132555,Ntpc Limited
124715,Sun Pharmaceuticals Industries
100570,Tata Motors Limited
132281,Hcl Technologies Limited
132500,Maruti Suzuki India Limited
100251,Trent Limited
132898,Power Grid Corporation Of Indi
100114,Titan Company Limited
100820,Asian Paints (India) Limited
100470,Tata Steel Limited
200132,Bajaj Auto Limited
132538,Ultratech Cement Limited
219300,Coal India Limited
100312,Oil & Natural Gas Corporation
100440,Hindalco Industries Limited
205198,Bajaj Finserv Limited
132921,Adani Ports And Special Econo
100300,Grasim Industries Limited
100049,Bharat Electronics Limited
132755,Tech Mahindra Limited
111218,Shriram Finance Limited
100228,Jsw Steel Limited
100790,Nestle India Limited
132187,Indusind Bank
100087,Cipla Limited
211385,Sbi Life Insurance Company Limited
100124,Dr Reddys Laboratories Limited
100800,Tata Consumer Products Limited
217389,Hdfc Life Insurance Company Li
107685,Wipro Limited
100825,Britannia Industries Limited
100182,Hero Motocorp Limited
112599,Adani Enterprises Limited
108869,Apollo Hospitals Enterprise Lt
100547,Bharat Petroleum Corpn Limited
105200,Eicher Motors Limited
132488,Divis Laboratories Limited
216156,Ltimindtree Limited
316317,Rights Ren  Tata Consumer Products Limited
269404,Tube Investments Of India Limited
132757,Voltamp Transformers Limited
100241,Kirloskar Brothers Limited
113683,Nlc India Limited
100123,Elantas Beck India Limited
210072,Dixon Technologies (India) Limited
210859,Tejas Networks Limited
190003,Karur Vysya Bank Limited
100038,Balrampur Chini Mills Limited
224880,Niit Learning Systems Limited
221809,Inox Wind Limited
100680,Pfizer Limited
100295,Vedanta Limited
132331,Ajanta Pharma Limited
131162,Emami Limited
105283,Kirloskar Pneumatic Company Limited
200007,Jyothy Labs Limited
223658,Td Power Systems Limited
106820,Astrazeneca Pharma India Limited
132630,Gokaldas Exports Limited
132175,Cyient Limited
200017,Eclerx Services Limited
100040,Century Textiles & Industries Limited
113375,Carborundum Universal Limited
222961,Kirloskar Oil Engines Limited
122287,Kalpataru Projects International Limited
100575,Voltas Limited
100214,Ion Exchange (India) Limited
132497,Radico Khaitan Limited
131335,Zydus Wellness Limited
122113,Timken India Limited
235668,Emudhra Limited
122205,Praj Industries Limited
217757,Pnb Housing Finance Limited
200025,Isgec Heavy Engineering Limited
100067,Blue Star Limited
100144,Finolex Cables Limited
229238,Affle (India) Limited
221033,Aster Dm Healthcare Limited
288451,Fine Organic Industries Limited
303157,Rategain Travel Technologies Limited
132756,Cie Automotive India Limited
130343,Genus Power Infrastructures Limited
305799,Kfin Technologies Limited
294320,Kpit Technologies Limited
117334,Samvardhana Motherson International Limited
100403,Sundram Fasteners Limited
100400,Tata Power Company Limited
280713,Crompton Greaves Consumer Electricals Limited
102986,Vardhman Textiles Limited
100126,Procter & Gamble Health Limited
282626,H.G. Infra Engineering Limited
122064,Honda India Power Products Limited
295872,Gujarat Fluorochemicals Limited
106285,Bayer Cropscience Limited
123457,Linde India Limited
100335,Birla Corporation Limited
303107,Sapphire Foods India Limited
209068,Rbl Bank Limited
132889,K.P.R. Mill Limited
132689,Pvr Inox Limited
106076,Grindwell Norton Limited
235355,Gland Pharma Limited
224898,Sundaram Finance Holdings Limited
100378,Jindal Saw Limited
100031,Bajaj Electricals Limited
106401,Deepak Nitrite Limited
221645,Krishna Institute Of Medical Sciences Limited
208808,Protean Egov Technologies Limited
210591,Aditya Birla Fashion And Retail Limited
200020,Brigade Enterprises Limited
296765,Hitachi Energy India Limited
120057,Jtekt India Limited
235506,Metropolis Healthcare Limited
131266,V.S.T Tillers Tractors Limited
221842,Creditaccess Grameen Limited
100850,The Indian Hotels Company Limited
223187,Kaynes Technology India Limited
132810,Power Finance Corporation Limited
241214,Paradeep Phosphates Limited
222822,Texmaco Rail & Engineering Limited
288401,Orient Electric Limited
208190,Galaxy Surfactants Limited
106222,Styrenix Performance Materials Limited
315970,Raymond Lifestyle Limited
231440,Allied Blenders And Distillers Limited
131599,Fdc Limited
117015,Vindhya Telelinks Limited
220519,Bajaj Consumer Care Limited
307061,Avalon Technologies Limited
100330,Raymond Limited
100085,Chambal Fertilizers & Chemicals Limited
305179,Harsha Engineers International Limited
115030,Asahi India Glass Limited
132548,Century Plyboards (India) Limited
100444,West Coast Paper Mills Limited
267615,Aavas Financiers Limited
100133,Esab India Limited
251940,G R Infraprojects Limited
124715,Sun Pharmaceutical Industries Limited
100870,Castrol India Limited
209979,Aditya Birla Sun Life Amc Limited
100304,Niit Limited
211531,Just Dial Limited
226625,Mas Financial Services Limited
132493,Astra Microwave Products Limited
132714,Kec International Limited
106943,Jb Chemicals & Pharmaceuticals Limited
311742,Doms Industries Limited
132221,Sonata Software Limited
100425,Ambuja Cements Limited
217842,Godrej Agrovet Limited
126612,Blue Dart Express Limited
104067,Zensar Technologies Limited
100355,Rallis India Limited
252306,Zomato Limited
213133,Fineotex Chemical Limited
227347,Care Ratings Limited
208763,Mtar Technologies Limited
100790,Nestle India Limited
218764,Thyrocare Technologies Limited
120113,Vesuvius India Limited
213429,Lemon Tree Hotels Limited
311571,Max Estates Limited
100238,Whirlpool Of India Limited
242477,Orient Cement Limited
105790,Schaeffler India Limited
100674,Sanofi India Limited
124208,Aarti Industries Limited
200094,Pnc Infratech Limited
100252,Lakshmi Machine Works Limited
111196,Can Fin Homes Limited
105010,Automotive Axles Limited
132210,City Union Bank Limited
209165,Sandhar Technologies Limited
132796,Lumax Auto Technologies Limited
222264,Pg Electroplast Limited
223430,Vedant Fashions Limited
304683,Venus Pipes And Tubes Limited
117174,Honeywell Automation India Limited
117506,Ttk Prestige Limited
126807,Seamec Limited
100250,Lg Balakrishnan & Bros Limited
311915,Stanley Lifestyles Limited
232353,Rhi Magnesita India Limited
273557,Fusion Micro Finance Limited
218533,Narayana Hrudayalaya Limited
222554,Data Patterns (India) Limited
272156,Greenlam Industries Limited
304682,Tbo Tek Limited
315602,Sanofi Consumer Healthcare India Limited
274045,Rainbow Childrens Medicare Limited
