Stock Number,Stock Name
218036,Numero Uno International Ltd.
219442,Macrotech Developers Ltd.
106355,Chemplast Sanmar Ltd.
100469,The Federal Bank Ltd.
100271,Max Financial Services Ltd.
132541,Coforge Limited
218071,Max Healthcare Institute Limited
132814,Indian Bank
210590,Persistent Systems Limited
102355,Balkrishna Industries Ltd.
100049,Bharat Electronics Ltd.
100403,Sundram Fasteners Ltd.
132477,Union Bank of India
100472,SKF India Ltd.
210072,Dixon Technologies (India) Ltd.
280713,Crompton Greaves Consumer Elec. Ltd.
109930,Supreme Industries Ltd.
132720,Mahindra & Mahindra Financial Services Ltd.
126299,MphasiS Limited.
295872,GUJARAT FLUOROCHEMICALS LIMITED
100480,Cummins India Ltd.
132805,Redington Ltd.
200046,KNR Construction limited.
286335,Au Small Finance Bank Ltd.
190003,Karur Vysya Bank Ltd.
132714,KEC International Ltd.
132466,Oracle Financial Ser Software Ltd.
235355,Gland Pharma Ltd.
100770,Tata Chemicals Ltd.
272156,Greenlam Industries Ltd.
209078,Nippon Life India Asset Management Limited
131162,Emami Ltd.
132210,City Union Bank Ltd.
132843,Fortis Healthcare Limited
104973,Cholamandalam Financial Holdings Ltd.
100027,Atul Ltd.
100101,Arvind Limited
278701,Five-Star Business Finance Limited
117385,Symphony Ltd.
102986,Vardhman Textiles Ltd.
109966,VST Industries Ltd.
254493,PB FINTECH LIMITED (Policy Bazaar)
295732,Greenpanel Industries Limited
120113,Vesuvius India Ltd.
214179,Sona Blw Precision Forgings
108989,Navneet Education Ltd.
226480,Dilip Buildcon Ltd.
122113,Timken India Ltd.
126797,Greenply Industries Ltd.
105790,Schaeffler India Ltd.
132848,Delta Corp Ltd.
200082,Mahindra Holidays & Resorts Ind Ltd.
107717,Dhanuka Agritech Ltd.
132705,Jagran Prakashan Ltd.
209068,RBL Bank Ltd.
100180,HDFC Bank Limited
100490,Bajaj Holdings & Investment Limited
132898,Power Grid Corporation of India Limited
132281,HCL Technologies Limited
219300,Coal India Limited
132174,ICICI Bank Limited
100875,ITC Limited
132215,Axis Bank Limited
132892,Motilal Oswal Financial Services Limited
102355,Balkrishna Industries Limited
207950,Central Depository Services (India) Limited
208766,Multi Commodity Exchange of India Limited
100087,Cipla Limited
100124,Dr. Reddy's Laboratories Limited
124494,IPCA Laboratories Limited
132466,Oracle Financial Services Software Limited
209492,UTI Asset Management Company Limited
132514,Indraprastha Gas Limited
132835,ICRA Limited
308021,NMDC Steel Limited
100125,EID Parry India Limited
100266,Maharashtra Scooters Limited
132268,Accelya Solutions India Limited
100034,Bajaj Finance Limited
132187,IndusInd Bank Limited
100570,Tata Motors Limited
132755,Tech Mahindra Limited
132540,Tata Consultancy Services Limited
279527,Bandhan Bank Limited
132523,Biocon Limited
100696,Hindustan Unilever Limited
100325,Reliance Industries Limited
100547,Bharat Petroleum Corporation Limited
100510,Larsen & Toubro Limited
218241,Microsoft Corp
279017,Alphabet Inc A
240763,Meta Platforms Registered Shares A
224342,Amazon Com Inc
100112,State Bank Of India
252306,Zomato Ltd.
117334,Motherson Sumi Systems Ltd.
131344,Container Corporation Of India Ltd.
211840,Mankind Pharma Ltd
124494,IPCA Laboratories Ltd.
225051,SBI Cards & Payment Services Ltd.
305013,Motherson Sumi Wiring India Ltd.
132898,Power Grid Corporation Of India Ltd.
100477,Ashok Leyland Ltd.
302988,FSN E-Commerce Ventures Ltd.
100104,Hindustan Petroleum Corporation Ltd.
100575,Voltas Ltd.
100850,The Indian Hotels Company Ltd.
232353,RHI Magnesita India ltd
111243,Cholamandalam Investment And Finance Company Ltd.
228974,IIFL Wealth Management Ltd.
126299,Mphasis Ltd.
229414,Nazara technologies Ltd
